appid,title,total_reviews,review_percent
215530,The Incredible Adventures of Van Helsing,10182,82.88
215690,Zeno Clash 2,1417,78.48
215830,Closers,4512,73.2
215930,Jagged Alliance 2 - Wildfire,1909,79.68
216890,Blood Bowl: Chaos Edition,1789,80.94
216910,Of Orcs And Men,2132,73.87
217200,Worms Armageddon,10615,94.38
217790,Dogfight 1942,1151,78.97
217980,Dishonored,14624,97.84
218060,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,3057,91.76
218510,Planets Under Attack,1237,73.48
218620,PAYDAY 2,671554,89.29
218230,PlanetSide 2,74377,80.6
218090,Unity of Command: Stalingrad Campaign,1010,78.02
218410,Defender's Quest: Valley of the Forgotten (DX edition),3491,95.16
218640,Lucius,10771,81.09
218680,Scribblenauts Unlimited,12193,93.97
218740,Pid,2428,83.28
218820,Mercenary Kings: Reloaded Edition,2436,70.48
219680,Proteus,2780,76.08
219640,Chivalry: Medieval Warfare,65186,82.55
219150,Hotline Miami,120456,97.03
219740,Don't Starve,112146,96.58
219910,Edna & Harvey: Harvey's New Eyes,3301,88.67
219830,King Arthur's Gold,5210,84.28
219890,Antichamber,17558,95.11
219780,Divinity II: Developer's Cut,5158,84.88
220160,Trials Evolution: Gold Edition,2384,75.17
219990,Grim Dawn,104285,93.75
220090,The Journey Down: Chapter One,1295,86.8
220200,Kerbal Space Program,132832,95.27
220240,Far Cry 3,126099,88.61
220260,Farming Simulator 2013 Titanium Edition,5338,92.51
220860,McPixel,3931,84.28
220440,DmC: Devil May Cry,31376,93.23
220740,Chaos on Deponia,2932,90.45
220820,Zombie Driver HD,4026,83.56
220780,Thomas Was Alone,9344,93.71
221040,Resident Evil 6,62687,77.93
221100,DayZ,455357,77.53
221680,Rocksmith® 2014 Edition REMASTERED LEARN & PLAY,24886,88.21
221640,Super Hexagon,24945,96.87
221540,DG2: Defense Grid 2,3302,86.4
221380,Age of Empires II (Retired),102363,95.82
221260,Little Inferno,13534,94.92
221810,The Cave,2879,87.32
221910,The Stanley Parable,45409,92.48
222420,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,3000,90.83
222480,Resident Evil Revelations,16888,81.14
222440,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,5060,94.84
222730,Reus,5896,78.31
222880,Insurgency,124719,91.67
222750,Wargame: Airland Battle,4437,87.15
223220,Giana Sisters: Twisted Dreams,1912,77.56
222980,Dead Pixels,2422,87.16
223330,Sea Dogs: To Each His Own,2349,73.69
223510,Miasmata,1224,77.29
223710,Cry of Fear,82141,88.78
223750,DCS World Steam Edition,39715,85.01
223810,Ys I & II Chronicles+,2931,89.15
223830,Xenonauts,5006,86.9
224260,No More Room in Hell,75612,89.9
224500,Gnomoria,3531,75.22
224480,Octodad: Dadliest Catch,10507,94.06
224760,FEZ,16020,92.66
224820,Super House of Dead Ninjas,1719,95.99
224300,Legacy of Kain: Defiance (2003),1256,85.35
224460,Contrast,5607,90.8
224960,Tomb Raider I (1996),4600,85.41
224980,Tomb Raider IV: The Last Revelation (1999),1427,85.21
225080,Brothers - A Tale of Two Sons,41189,94.41
225160,Shadow Warrior Classic Redux,3581,89.7
225260,Brutal Legend,19981,93.22
225280,Full Mojo Rampage,1249,84.15
225300,Tomb Raider II (1997),2344,86.69
225320,Tomb Raider III (1998),1524,84.19
225540,Just Cause™ 3,125836,84.25
225640,Sacred 2 Gold,3655,76.14
225840,Sven Co-op,32072,93.58
226100,PixelJunk™ Nom Nom Galaxy,1095,76.62
226620,Desktop Dungeons,2339,83.71
226740,Monster Loves You!,1196,78.34
226860,Galactic Civilizations III,10366,76.63
226840,Age of Wonders III,12745,80.15
227000,Primordia,3380,96.57
227200,Waking Mars,1194,88.78
227080,Papo & Yo,2866,93.48
227100,Sniper Elite: Nazi Zombie Army,4667,88.32
227300,Euro Truck Simulator 2,903335,97.46
227220,Sang-Froid - Tales of Werewolves,1931,87.73
227580,"10,000,000",2352,90.22
227600,Castle of Illusion,4242,90.5
228200,Company of Heroes,18090,94.32
227780,Serious Sam Classics: Revolution,3716,90.26
228260,Fallen Enchantress: Legendary Heroes,2515,74.47
228300,Remember Me,16628,83.13
228280,Baldur's Gate: Enhanced Edition,17377,92.35
228360,Full Throttle Remastered,3120,91.76
228380,Wreckfest,39728,88.15
228760,TrackMania² Canyon,1852,81.37
229480,Dungeons & Dragons: Chronicles of Mystara,1938,81.32
230190,War for the Overworld,7995,85.92
230070,The Age of Decadence,3935,82.21
230270,N++ (NPLUSPLUS),3455,93.72
230230,Divinity: Original Sin (Classic),11862,91.68
230290,Universe Sandbox,30398,96.45
230410,Warframe,654274,87.64
230820,The Night of the Rabbit,3322,89.49
230700,La-Mulana,2564,79.64
231040,Beatbuddy: Tale of the Guardians,1190,75.21
231430,Company of Heroes 2,112115,79.04
231160,The Swapper,7508,94.13
231200,Kentucky Route Zero: PC Edition,4363,80.15
231330,Deadfall Adventures,2605,73.32
231740,Knights of Pen and Paper +1 Edition,3241,82.47
232010,Euro Truck Simulator,7529,83.78
232090,Killing Floor 2,128109,88.29
232430,Gone Home,18221,77.16
232890,Stronghold Crusader 2,17765,72.38
232910,TrackMania² Stadium,6640,88.69
232790,Broken Age,8129,83.63
232750,Mars: War Logs,2985,75.28
233130,Shadow Warrior,26532,91.97
233150,LUFTRAUSERS,4482,90.74
233230,Kairo,1738,73.65
233190,Final Exam,1295,84.17
233270,Far Cry 3 - Blood Dragon,19033,87.59
233350,Sudeki,1057,88.55
233290,Murdered: Soul Suspect,17086,85.78
233450,Prison Architect,73045,89.33
233470,Evoland,5942,82.62
233550,Another World – 20th Anniversary Edition,1999,83.19
233840,Worms Clan Wars,3173,78.47
233740,Organ Trail: Director's Cut,3135,88.07
233610,Distance,7458,92.34
233720,Surgeon Simulator,16684,82.08
233700,Sword of the Stars: The Pit,1552,83.51
