appid,title
236110,Dungeon Defenders II
307950,Caliber
362680,Fran Bow
323470,DRAGON BALL XENOVERSE
283640,Salt and Sanctuary
235540,Warhammer: End Times - Vermintide
235600,Tom Clancy’s Splinter Cell Blacklist
311560,Assassin’s Creed® Rogue
329050,Devil May Cry 4 Special Edition
210970,The Witness
265550,Dead Rising 3 Apocalypse Edition
225260,Brutal Legend
337340,Finding Paradise
242700,Injustice: Gods Among Us Ultimate Edition
269950,X-Plane 11
201870,Assassin's Creed® Revelations
262410,World of Guns: Gun Disassembly
251060,Wargame: Red Dragon
201790,Orcs Must Die! 2
242680,Nuclear Throne
330830,Tales from the Borderlands
292120,FINAL FANTASY® XIII
233270,Far Cry 3 - Blood Dragon
289130,ENDLESS™ Legend
236090,Dust: An Elysian Tail
241600,Rogue Legacy
257850,Hyper Light Drifter
367450,Poly Bridge
301640,Zombie Army Trilogy
312990,The Expendabros
232430,Gone Home
228200,Company of Heroes
311340,METAL GEAR SOLID V: GROUND ZEROES
232890,Stronghold Crusader 2
385800,NEKOPARA Vol. 0
368340,CrossCode
219890,Antichamber
212480,Sonic & All-Stars Racing Transformed Collection
241540,State of Decay
228280,Baldur's Gate: Enhanced Edition
202170,Sleeping Dogs
257420,Serious Sam 4
250400,How to Survive
233290,Murdered: Soul Suspect
222480,Resident Evil Revelations
293760,Automation - The Car Company Tycoon Game
248390,Craft The World
248570,Toribash
339340,Resident Evil 0
233720,Surgeon Simulator
228300,Remember Me
341800,Keep Talking and Nobody Explodes
250760,Shovel Knight: Treasure Trove
239350,Spelunky
270150,RUNNING WITH RIFLES
355180,Codename CURE
287980,Mini Metro
264200,One Finger Death Punch
313340,Mountain
204880,Sins of a Solar Empire®: Rebellion
298630,The Escapists
246420,Kingdom Rush  - Tower Defense
224760,FEZ
290340,Armello
214560,Mark of the Ninja
237990,The Banner Saga
288470,Fable Anniversary
282440,Quake Live
313160,Farming Simulator 15
361280,Turmoil
333420,Cossacks 3
238430,Contagion
115320,Prototype 2
332310,LEGO® Worlds
343780,Cat Goes Fishing
287450,Rise of Nations: Extended Edition
214510,LEGO® The Lord of the Rings™
356670,Spooky's Jump Scare Mansion
212070,Star Conflict
